Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,Temperature,Humidity
Mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.7525,103,52,80,30.77,79.59
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.53,591.79,0.777142857,53,75,58,24.34,50.52
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571,103,70,42,25.84,63.59
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.38,2143.34,0.608571429,142,22,71,33.8,80.82
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429,112,57,30,28.5,66.16
Sesamum,1997,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.42,411.06,0.575714286,67,23,85,21.46,64.51
Small millets,1997,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.68,869.24,0.861428571,139,55,32,31.99,88.06
Soyabean,1997,Kharif     ,Meghalaya,898.0,814,3818.2,85462.66,278.38,0.921428571,93,23,60,23.84,72.1
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,7803.94,25.42,2.352,83,61,68,28.29,57.7
Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.04,1615.72,3.221428571,123,28,34,27.65,68.89
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,3818.2,376778.03,1227.29,6.537142857,111,59,75,23.57,70.75
Tobacco,1997,Rabi       ,Meghalaya,742.0,505,3818.2,70616.14,230.02,0.618,149,70,73,21.74,89.55
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286,63,36,50,23.17,78.73
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385,144,36,80,21.46,70.78
Arecanut,1997,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.86,2497.98,1.691764706,97,52,77,24.13,67.28
Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.777692308,64,39,79,34.96,86.62
Bajra,1997,Kharif     ,West Bengal,207.0,95,1852.9,19700.19,64.17,0.426666667,121,33,72,26.03,75.84
Barley,1997,Whole Year ,West Bengal,6116.0,5034,1852.9,582059.72,1895.96,1.68,127,41,80,32.96,64.24
Cardamom,1997,Whole Year ,West Bengal,2674.0,7,1852.9,254484.58,828.94,0.0,136,71,61,28.24,68.59
Castor seed,1997,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07,111,46,48,30.0,61.12
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.78778,89,62,46,22.35,88.42
Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,134,22,63,24.12,78.08
Dry chillies,1997,Whole Year ,West Bengal,64034.0,55569,1852.9,6094115.78,19850.54,0.942777778,129,43,24,27.66,65.69
Gram,1997,Rabi       ,West Bengal,25485.0,16994,1852.9,2425407.45,7900.35,0.5975,131,49,71,33.22,57.33
Groundnut,1997,Whole Year ,West Bengal,29615.0,38672,1852.9,2818459.55,9180.65,1.13,102,27,72,20.64,57.08
Horse-gram,1997,Kharif     ,West Bengal,5645.0,2556,1852.9,537234.65,1749.95,0.438888889,73,41,71,27.6,69.11
Jowar,1997,Whole Year ,West Bengal,948.0,450,1852.9,90221.16,293.88,0.482,75,44,57,20.77,68.7
Jute,1997,Kharif     ,West Bengal,641574.0,7549700,1852.9,61058597.58,198887.94,13.44588235,138,79,63,26.85,66.71
Khesari,1997,Rabi       ,West Bengal,25261.0,28460,1852.9,2404089.37,7830.91,1.095882353,109,29,72,29.43,84.07
Linseed,1997,Whole Year ,West Bengal,16486.0,4210,1852.9,1568972.62,5110.66,0.251538462,90,68,21,31.17,89.17
Maize,1997,Whole Year ,West Bengal,35469.0,130390,1852.9,3375584.73,10995.39,2.658461538,78,48,73,22.08,64.19
Masoor,1997,Rabi       ,West Bengal,51202.0,35040,1852.9,4872894.34,15872.62,0.662352941,64,59,54,22.5,61.78
Mesta,1997,Kharif     ,West Bengal,9689.0,89000,1852.9,922102.13,3003.59,9.154166667,94,73,65,27.05,80.8
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889,114,20,74,34.97,67.99
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889,138,71,30,25.34,58.7
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889,120,40,48,26.41,57.24
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143,114,20,74,34.97,67.99
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143,138,71,30,25.34,58.7
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143,120,40,48,26.41,57.24
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046,114,20,74,34.97,67.99
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046,138,71,30,25.34,58.7
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046,120,40,48,26.41,57.24
Niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.698888889,58,58,88,26.49,61.22
Niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.698888889,137,43,82,21.21,50.05
Niger seed,1997,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.04,2018.72,0.40375,58,58,88,26.49,61.22
Niger seed,1997,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.04,2018.72,0.40375,137,43,82,21.21,50.05
Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725,1852.9,121722.43,396.49,0.585,50,28,66,31.61,87.66
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.55,88044.65,18.23722222,57,79,26,23.8,67.21
Ragi,1997,Autumn     ,West Bengal,12607.0,15330,1852.9,1199808.19,3908.17,0.986,137,63,83,30.56,53.31
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950,1852.9,31132295.91,101408.13,0.718333333,112,73,83,27.13,56.6
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222,60,45,31,29.18,62.93
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222,130,28,31,20.81,72.07
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222,57,39,55,33.35,78.15
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,60,45,31,29.18,62.93
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,130,28,31,20.81,72.07
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,57,39,55,33.35,78.15
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556,60,45,31,29.18,62.93
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556,130,28,31,20.81,72.07
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556,57,39,55,33.35,78.15
Safflower,1997,Whole Year ,West Bengal,10800.0,3000,1852.9,1027836.0,3348.0,0.2975,84,75,48,23.66,62.31
Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073,1852.9,191767.55,624.65,4.598571429,84,54,30,30.05,88.3
Sesamum,1997,Whole Year ,West Bengal,127913.0,88943,1852.9,12173480.21,39653.03,0.649444444,82,55,72,31.97,80.41
Small millets,1997,Whole Year ,West Bengal,5046.0,3222,1852.9,480227.82,1564.26,0.626666667,54,61,89,28.1,83.03
Soyabean,1997,Kharif     ,West Bengal,1555.0,1172,1852.9,147989.35,482.05,1.196666667,90,55,66,25.06,62.95
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,1852.9,2455100.49,7997.07,67.83625,77,73,52,34.67,65.24
Sunflower,1997,Whole Year ,West Bengal,278.0,1,1852.9,26457.26,86.18,0.0,56,28,86,24.18,71.52
Turmeric,1997,Whole Year ,West Bengal,12481.0,23556,1852.9,1187816.77,3869.11,1.661111111,122,41,62,34.23,68.07
Urad,1997,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.07,21474.01,1.825,121,20,37,22.34,60.4
Urad,1997,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.07,21474.01,1.825,61,24,72,25.84,89.89
Urad,1997,Rabi       ,West Bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.628333333,121,20,37,22.34,60.4
Urad,1997,Rabi       ,West Bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.628333333,61,24,72,25.84,89.89
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.886666667,83,28,58,22.08,83.93
Arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.35,82,56,53,20.03,59.52
Bajra,1998,Kharif     ,Puducherry,149.0,324,1434.5875,14721.2,43.21,2.17,97,57,56,23.9,85.7
Black pepper,1998,Kharif     ,Puducherry,12.0,7,1434.5875,1185.6,3.48,0.58,72,38,60,21.31,73.48
Coriander,1998,Kharif     ,Puducherry,2.0,1,1434.5875,197.6,0.58,0.5,111,27,68,34.8,50.5
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84,137,61,29,31.42,63.85
Dry chillies,1998,Kharif     ,Puducherry,8.0,23,1434.5875,790.4,2.32,2.75,86,62,59,20.06,51.03
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.54,148,51,37,23.35,53.51
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,2568.8,7.54,16.5,93,32,44,30.05,57.16
Ragi,1998,Kharif     ,Puducherry,112.0,366,1434.5875,11065.6,32.48,3.27,135,39,60,25.98,69.38
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,140,55,55,32.48,65.25
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,84,62,21,27.57,55.96
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,114,63,68,29.8,65.78
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,140,55,55,32.48,65.25
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,84,62,21,27.57,55.96
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,114,63,68,29.8,65.78
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,140,55,55,32.48,65.25
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,84,62,21,27.57,55.96
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,114,63,68,29.8,65.78
Sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667,148,56,86,28.96,62.17
Small millets,1998,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75,96,49,72,29.57,66.41
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.5875,267748.0,785.9,82.595,127,29,38,23.45,56.89
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.5875,64121.2,188.21,20.0,52,50,45,25.6,74.39
Arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.784347826,50,44,73,20.76,51.78
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435,54,48,70,28.81,65.52
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.78826087,139,43,44,26.89,85.8
Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571,63,58,36,31.41,66.79
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.886957,76,40,80,23.1,67.64
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435,58,60,65,26.55,52.72
Dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.636956522,128,28,74,22.71,74.21
Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545,64,61,69,29.21,87.46
